Date (mmm dd),AM Pressure (mb),PM Pressure (mb),AM Temperature (℉),PM Temperature (℉),AM Wind Speed (mph) and Direction,PM Wind Speed (mph) and Direction,AM Relative Humidity (%),PM Relative Humidity (%)
OCT 03,1012,1011,64,76,3SW,12SE,68,50
OCT 04,1011,1009,59,69,2ESE,24S,72,97
OCT 05,1010,1008,58,69,2SW,7W,94,56
OCT 06,1013,1012,60,75,3SW,15W,70,49
OCT 07,1014,1013,62,78,3NW,19NNW,75,22
OCT 08,1015,1014,66,80,25NNE,28NNE,28,13
OCT 09,1017,1015,72,83,25NNE,33NE,14,10
OCT 10,1017,1015,69,81,28NE,25NE,20,12
OCT 11,1016,1014,71,82,17E,15E,14,12
OCT 12,1015,1013,64,81,3W,18SW,34,20
OCT 13,1014,1012,63,80,CALM,3SE,40,25
OCT 14,1010,1009,66,72,CALM,5SW,92,70
